layer,hidden_dim,num_pos,num_neg,flagged_count,density,sum_abs_delta,l2_norm_delta,mean_abs_d
49,5120,120,88,1150,0.224609375,878.097900390625,15.544868469238281,0.3254249691963196
48,5120,120,88,1140,0.22265625,753.783203125,13.322513580322266,0.32781562209129333
51,5120,120,88,1136,0.221875,1015.7066650390625,17.910785675048828,0.3220517635345459
52,5120,120,88,1129,0.2205078125,1178.67626953125,20.923175811767578,0.32226911187171936
50,5120,120,88,1117,0.2181640625,924.8659057617188,16.41878890991211,0.31822508573532104
47,5120,120,88,1078,0.210546875,620.0318603515625,11.082350730895996,0.3164297640323639
46,5120,120,88,1068,0.20859375,510.2914733886719,9.137798309326172,0.31316038966178894
53,5120,120,88,1056,0.20625,1320.885498046875,23.526588439941406,0.3163723647594452
54,5120,120,88,1025,0.2001953125,1461.571533203125,25.933801651000977,0.31138190627098083
55,5120,120,88,996,0.19453125,1628.7705078125,28.727378845214844,0.31019145250320435
56,5120,120,88,960,0.1875,1788.51708984375,31.433759689331055,0.30405673384666443
45,5120,120,88,902,0.176171875,415.968505859375,7.4244184494018555,0.29825398325920105
57,5120,120,88,901,0.1759765625,1956.783203125,34.277626037597656,0.29753032326698303
58,5120,120,88,740,0.14453125,2148.28515625,37.610069274902344,0.282877117395401
59,5120,120,88,687,0.1341796875,2403.629150390625,42.13121795654297,0.2714448571205139
60,5120,120,88,646,0.126171875,2718.802978515625,47.79330062866211,0.2658984661102295
44,5120,120,88,642,0.125390625,325.19964599609375,5.8474907875061035,0.2680214047431946
61,5120,120,88,607,0.1185546875,3111.5400390625,54.41152572631836,0.2630217373371124
63,5120,120,88,589,0.1150390625,4158.1337890625,77.96207427978516,0.25737857818603516
62,5120,120,88,569,0.1111328125,3568.39892578125,63.059539794921875,0.25720077753067017
43,5120,120,88,245,0.0478515625,228.73220825195312,4.083296775817871,0.21167972683906555
42,5120,120,88,152,0.0296875,206.72216796875,3.6844589710235596,0.1981840878725052
39,5120,120,88,141,0.0275390625,183.85325622558594,3.295630693435669,0.18847183883190155
40,5120,120,88,131,0.0255859375,187.08856201171875,3.3890790939331055,0.18664082884788513
35,5120,120,88,123,0.0240234375,147.55184936523438,2.645294427871704,0.18236923217773438
38,5120,120,88,120,0.0234375,182.08551025390625,3.2304556369781494,0.18883545696735382
4,5120,120,88,109,0.0212890625,15.69782543182373,0.2849721908569336,0.17616955935955048
37,5120,120,88,109,0.0212890625,159.48043823242188,2.8744070529937744,0.17850172519683838
8,5120,120,88,107,0.0208984375,46.96830749511719,0.8366342782974243,0.17519542574882507
41,5120,120,88,107,0.0208984375,190.59234619140625,3.4436709880828857,0.1841677874326706
34,5120,120,88,105,0.0205078125,139.8350067138672,2.5175955295562744,0.1765044778585434
32,5120,120,88,101,0.0197265625,139.28509521484375,2.489567756652832,0.17199765145778656
36,5120,120,88,98,0.019140625,151.00253295898438,2.7258713245391846,0.17847175896167755
7,5120,120,88,95,0.0185546875,44.721290588378906,0.7908986806869507,0.17932094633579254
9,5120,120,88,95,0.0185546875,52.8968620300293,0.9340482354164124,0.17313383519649506
29,5120,120,88,95,0.0185546875,150.22543334960938,2.6580536365509033,0.1706564724445343
31,5120,120,88,95,0.0185546875,145.6499481201172,2.5831141471862793,0.17067573964595795
33,5120,120,88,90,0.017578125,135.77676391601562,2.4338159561157227,0.17194679379463196
5,5120,120,88,86,0.016796875,23.923208236694336,0.4283042252063751,0.1688370406627655
30,5120,120,88,81,0.0158203125,148.39837646484375,2.6216228008270264,0.16951720416545868
10,5120,120,88,68,0.01328125,54.69712829589844,0.9636445045471191,0.1693524569272995
6,5120,120,88,67,0.0130859375,29.249515533447266,0.5218142867088318,0.16504137217998505
11,5120,120,88,61,0.0119140625,56.333351135253906,0.9994273781776428,0.1602868139743805
23,5120,120,88,61,0.0119140625,100.64312744140625,1.8141120672225952,0.1572713404893875
24,5120,120,88,61,0.0119140625,106.55538940429688,1.9135409593582153,0.1573144942522049
28,5120,120,88,58,0.011328125,131.1695098876953,2.326190233230591,0.1591087281703949
3,5120,120,88,57,0.0111328125,10.239840507507324,0.18395622074604034,0.15854239463806152
27,5120,120,88,57,0.0111328125,123.74455261230469,2.192626476287842,0.15697117149829865
12,5120,120,88,56,0.0109375,62.397850036621094,1.101631760597229,0.1543828397989273
13,5120,120,88,55,0.0107421875,78.71531677246094,1.3830755949020386,0.1580982506275177
19,5120,120,88,53,0.0103515625,94.15409851074219,1.6863629817962646,0.15487037599086761
22,5120,120,88,52,0.01015625,102.50286102294922,1.8301565647125244,0.15330275893211365
25,5120,120,88,52,0.01015625,111.29942321777344,1.9897257089614868,0.15313966572284698
1,5120,120,88,48,0.009375,7.136457443237305,0.12578535079956055,0.16262665390968323
2,5120,120,88,48,0.009375,8.28870964050293,0.1479722559452057,0.15885210037231445
14,5120,120,88,48,0.009375,81.76948547363281,1.444212555885315,0.1574002057313919
17,5120,120,88,46,0.008984375,87.35234069824219,1.563521385192871,0.152089461684227
18,5120,120,88,46,0.008984375,90.53462219238281,1.6168973445892334,0.15428917109966278
26,5120,120,88,44,0.00859375,117.98320770263672,2.1033878326416016,0.15311236679553986
16,5120,120,88,43,0.0083984375,84.40605163574219,1.5075204372406006,0.14876845479011536
21,5120,120,88,42,0.008203125,97.00621032714844,1.731892466545105,0.15290148556232452
15,5120,120,88,41,0.0080078125,83.96404266357422,1.490405559539795,0.15210004150867462
20,5120,120,88,41,0.0080078125,92.63212585449219,1.6593677997589111,0.1528981477022171
0,5120,120,88,40,0.0078125,6.358508110046387,0.11099972575902939,0.1612367182970047
